sdcsdsdcsdcsd3783662	1	both
3783663	1326	both
3783682	58	both
3783549	914	both
3783944	1936	both
3783948	83	both
3783543	141	both
3783542	2406	both
3783949	866	both
3783544	2968	both
3783700	1294	both
3784035	311	both
3783599	1176	both
3783782	414	both
3784032	1480	both
3783780	2810	both
3783867	26	both
3783865	1855	both
3785603	1217	both
3785604	147	both
3784068	267	both
3785608	3614	both
3783893	2020	both
3783892	65	both
3783897	383	both
3783895	149	both
3783655	108	both
3783654	5841	both
3783898	2920	both
3783650	32	both
3783952	1098	both
3783953	1484	both
3783692	1820	both
3783718	147	both
3783955	6	both
3784081	416	both
3783958	236	both
3783711	169	both
3783712	344	both
3783713	208	both
3783945	1560	both
3783851	879	both
3783792	1785	both
3783793	31	both
3783696	65	both
3783817	641	both
3783799	836	both
3783815	215	both
3903563	75	both
-1	24042	both
3794328	44	both
3783628	6	both
3785631	48	both
3821749	1981	both
3783883	952	both
3783885	8326	both
3783643	106	both
3783640	226	both
3784098	269	both
3783645	3721	both
3785554	3	both
3783981	1162	both
3785556	2579	both
3783706	1	both
3785559	277	both
3783727	727	both
3783927	121	both
3783784	5	both
3783925	897	both
3783704	693	both
3783921	24	both
3783920	727	both
3783620	4875	both
3783805	533	both
3783984	438	both
3784102	169	both
3785624	184	both
3903564	918	both
3783531	759	both
3783734	1010	both
3783732	678	both
3783730	543	both
3783731	12	both
3783738	334	both
4070487	2634	both
3783834	23	both
3783837	94	both
3785562	395	both
3783832	25	both
3783637	1762	both
3783635	290	both
3783633	237	both
3783632	504	both
3783631	2172	both
3783935	1727	both
3783936	779	both
3783937	111	both
3783930	355	both
3783933	2573	both
3783938	496	both
3783742	2753	both
3783740	427	both
3783747	126	both
3783749	1	both
3783748	3	both
3783822	471	both
3783988	740	both
3783826	125	both
3783824	8	both
3785579	220	both
3785576	283	both
3783625	772	both
3783626	863	both
3783627	4533	both
3785572	537	both
3785573	55	both
3783986	3	both
3783903	2110	both
3783902	615	both
3783904	3789	both
3783907	8950	both
3783906	1627	both
3784071	1074	both
3784072	178	both
3770760	245	both
3784075	8139	both
3783755	173	both
3783990	317	both
3783757	3465	both
3783758	80	both
3783592	1299	both
3783590	162	both
3783591	1078	both
3783763	71	both
3783594	17	both
3783611	218	both
3783610	127	both
3783598	141	both
3783609	1083	both
3783615	227	both
3783691	729	both
3783690	6	both
3783854	353	both
3783694	985	both
3783697	368	both
3783919	4658	both
3783699	325	both
3783917	1	both
3783914	805	both
3783913	32	both
3948521	20	both
3783769	239	both
3783603	171	both
3783601	2974	both
3783767	2408	both
3783608	188	both
3783762	4015	both
3783569	647	both
3783561	7148	both
3785613	1	both
3783846	657	both
3783968	1300	both
3783756	18	both
3783842	1396	both
3783689	467	both
3783686	874	both
3783962	312	both
3783684	63	both
3783685	417	both
3783848	417	both
3948518	18	both
3783716	2	both
3785584	523	both
3785588	557	both
3784099	139	both
3783673	1170	both
3783778	885	both
4070191	199	both
3823632	320	both
3783926	3	both
3783773	486	both
3783771	1290	both
3783969	2098	both
3783774	2	both
3783578	93	both
3783579	3280	both
3783978	55	both
3784025	134	both
3771446	86	both
3783875	81	both
3771443	2581	both
3783876	1485	both
3784100	113	both
3783878	872	both
3783972	118	both
3783843	113	both
3783974	1434	both
3783976	16	both
3784028	60	both
3785590	523	both
3785591	164	both
3785611	2620	both
3785593	1774	both
3785617	199	both
3785597	161	both
3785598	1731	both
3785618	1159	both
3783662	1	cp_audit
3783682	50	cp_audit
3783944	1741	cp_audit
3783706	1	cp_audit
3783542	2180	cp_audit
3783948	75	cp_audit
3783700	1175	cp_audit
300100000630040	5325	cp_audit
3783784	3	cp_audit
3783782	374	cp_audit
3784032	1350	cp_audit
3783780	2512	cp_audit
3785604	137	cp_audit
3785608	3263	cp_audit
300100000730020	1270	cp_audit
300100000330030	3290	cp_audit
3783892	55	cp_audit
300100000330020	4320	cp_audit
3783654	5238	cp_audit
3783898	2657	cp_audit
3783650	28	cp_audit
3783952	982	cp_audit
3783692	1636	cp_audit
3783718	137	cp_audit
3783958	210	cp_audit
3783712	314	cp_audit
300100000430000	7922	cp_audit
3783792	1601	cp_audit
-1	40635	cp_audit
3903564	822	cp_audit
300100000630030	2028	cp_audit
3783628	5	cp_audit
300100000730030	7081	cp_audit
3783640	201	cp_audit
300100000330010	5271	cp_audit
3784098	246	cp_audit
3785554	3	cp_audit
3785556	2320	cp_audit
3783926	3	cp_audit
3783704	630	cp_audit
3783920	664	cp_audit
3783620	4373	cp_audit
3783544	2661	cp_audit
300100000630020	7077	cp_audit
3001000007300100	738	cp_audit
300100000730000	1313	cp_audit
3785624	164	cp_audit
3794328	38	cp_audit
3783734	902	cp_audit
3783732	602	cp_audit
3783730	498	cp_audit
3783738	292	cp_audit
3783834	19	cp_audit
3785562	356	cp_audit
3783832	24	cp_audit
3783632	454	cp_audit
300100000730090	1771	cp_audit
3783936	690	cp_audit
3784068	237	cp_audit
3783930	311	cp_audit
3783938	432	cp_audit
300100000630010	2871	cp_audit
300100000430010	5042	cp_audit
300100000730010	1053	cp_audit
3783742	2492	cp_audit
3783740	384	cp_audit
